Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784281236,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784281237,10,,Aggregated,0.000000,0.000000,150,220,270,270,310,330,330,330,330,330,330,20,0,130,146.82613740151282,1.9981669902335852,325.79370800522156,305.2
1784281238,20,,Aggregated,0.000000,0.000000,100,230,290,330,330,340,360,360,360,360,360,45,0,100,148.44100646700502,1.9981669902335852,358.4860000119079,288.3333333333333
1784281239,30,,Aggregated,20.000000,0.000000,73,240,280,290,330,340,360,360,360,360,360,77,0,73,134.91851512936864,1.9981669902335852,358.4860000119079,272.7142857142857
1784281240,40,,Aggregated,20.500000,0.000000,60,230,280,290,300,330,340,360,360,360,360,114,0,39,128.3690515523184,1.9981669902335852,358.4860000119079,260.2105263157895
1784281241,50,,Aggregated,24.000000,0.000000,25,190,280,290,320,330,340,360,360,360,360,164,0,24,118.95199951775395,1.217624987475574,358.4860000119079,246.0487804878049
1784281242,60,,Aggregated,27.000000,0.000000,12,170,280,290,300,320,330,340,360,360,360,213,0,12,111.19109862432116,1.217624987475574,358.4860000119079,238.67605633802816
1784281243,70,,Aggregated,30.000000,0.000000,18,170,280,290,320,340,390,390,390,390,390,270,0,18,116.1916206849532,1.217624987475574,390.07074999972247,231.7111111111111
1784281244,80,,Aggregated,32.833333,0.000000,13,160,270,290,320,340,390,390,390,390,390,335,0,13,111.87722300267917,0.9318339871242642,390.07074999972247,225.74029850746268
1784281245,90,,Aggregated,36.857143,0.000000,12,140,260,290,320,330,390,390,390,390,390,401,0,12,107.79410232930616,0.9318339871242642,390.07074999972247,221.59351620947632
1784281246,100,,Aggregated,39.750000,0.000000,12,100,240,280,320,330,380,390,390,390,390,483,0,12,102.95275663172461,0.9318339871242642,390.07074999972247,216.35403726708074
1784281247,100,,Aggregated,42.444444,0.000000,9,70,190,260,310,330,360,390,390,390,390,546,0,9,91.5973079049147,0.9318339871242642,390.07074999972247,209.07692307692307
1784281248,100,,Aggregated,46.300000,0.000000,8,31,150,230,300,320,360,390,390,390,390,612,0,8,82.37125053278017,0.9318339871242642,390.07074999972247,202.99019607843138
1784281249,100,,Aggregated,49.200000,0.000000,7,16,81,190,300,320,360,390,390,390,390,688,0,7,73.82583211776449,0.9318339871242642,390.07074999972247,197.5043604651163
1784281250,100,,Aggregated,54.900000,0.000000,7,12,70,150,290,320,360,390,390,390,390,745,0,7,68.63103008855622,0.9318339871242642,390.07074999972247,193.97046979865772
1784281251,100,,Aggregated,58.200000,0.000000,7,10,36,120,290,320,340,390,390,390,390,808,0,7,63.764694104020684,0.9318339871242642,390.07074999972247,190.65346534653466
1784281252,100,,Aggregated,60.800000,0.000000,6,9,25,76,290,320,340,390,390,390,390,874,0,6,59.33820241873735,0.9318339871242642,390.07074999972247,187.73112128146454
1784281253,100,,Aggregated,63.900000,0.000000,6,8,16,68,280,320,340,380,390,390,390,942,0,6,55.506730584908205,0.9318339871242642,390.07074999972247,185.26433121019107
1784281254,100,,Aggregated,64.700000,0.000000,6,8,16,59,280,320,330,360,390,390,390,1010,0,6,52.86102768104053,0.9318339871242642,390.07074999972247,183.21881188118812
1784281255,100,,Aggregated,65.700000,0.000000,6,8,12,36,270,310,330,360,390,390,390,1073,0,6,50.01256554624572,0.9318339871242642,390.07074999972247,181.37744641192916
1784281256,100,,Aggregated,66.100000,0.000000,6,8,11,28,250,300,330,360,390,390,390,1147,0,6,47.157189442082725,0.9318339871242642,390.07074999972247,179.53007846556233
1784281257,100,,Aggregated,66.300000,0.000000,6,7,10,19,240,300,330,360,390,390,390,1211,0,6,44.938053639344545,0.9318339871242642,390.07074999972247,178.01981833195705
1784281258,100,,Aggregated,65.900000,0.000000,6,7,9,14,230,300,330,360,390,390,390,1276,0,6,42.901872352903695,0.9318339871242642,390.07074999972247,176.65282131661442
1784281259,100,,Aggregated,66.100000,0.000000,5,7,9,12,210,300,330,360,390,390,390,1350,0,5,40.77689691423007,0.9318339871242642,390.07074999972247,175.40222222222224
1784281260,100,,Aggregated,66.300000,0.000000,5,7,9,12,170,290,330,360,390,390,390,1414,0,5,39.200012877123605,0.9318339871242642,390.07074999972247,174.4038189533239
1784281261,100,,Aggregated,65.900000,0.000000,5,7,8,11,160,290,320,360,390,390,390,1474,0,5,37.81069792758372,0.9318339871242642,390.07074999972247,173.46336499321575
1784281262,100,,Aggregated,66.200000,0.000000,5,7,8,10,140,290,320,360,390,390,390,1550,0,5,36.21796058464585,0.9318339871242642,390.07074999972247,172.45870967741936
1784281263,100,,Aggregated,66.400000,0.000000,5,7,8,10,120,290,320,340,390,390,390,1619,0,5,34.914703279290144,0.9318339871242642,390.07074999972247,171.69425571340332
1784281264,100,,Aggregated,67.400000,0.000000,5,7,8,10,92,290,320,340,390,390,390,1683,0,5,33.810600305519934,0.9318339871242642,390.07074999972247,171.02852049910874
1784281265,100,,Aggregated,66.600000,0.000000,5,7,8,9,85,290,320,340,390,390,390,1749,0,5,32.74908332433245,0.9318339871242642,390.07074999972247,170.3138936535163
1784281266,100,,Aggregated,67.400000,0.000000,5,7,8,9,76,290,320,340,390,390,390,1820,0,5,31.692375311248036,0.9318339871242642,390.07074999972247,169.5967032967033
1784281267,100,,Aggregated,67.000000,0.000000,5,7,8,9,73,280,320,340,390,390,390,1891,0,5,30.696557302164365,0.9318339871242642,390.07074999972247,169.04283447911158
1784281268,100,,Aggregated,66.500000,0.000000,5,7,8,9,68,280,320,340,390,390,390,1948,0,5,29.964282248116355,0.9318339871242642,390.07074999972247,168.51488706365504
1784281269,100,,Aggregated,67.800000,0.000000,5,7,8,9,59,280,320,330,390,390,390,2020,0,5,29.117508119319123,0.9318339871242642,390.07074999972247,168.059900990099
1784281270,100,,Aggregated,67.100000,0.000000,5,7,8,9,46,270,320,330,390,390,390,2082,0,5,28.41139208312886,0.9318339871242642,390.07074999972247,167.6657060518732
1784281271,100,,Aggregated,67.300000,0.000000,5,6,8,8,39,270,320,330,390,390,390,2154,0,5,27.646841721589993,0.9318339871242642,390.07074999972247,167.14206128133705
1784281272,100,,Aggregated,68.100000,0.000000,5,6,7,8,36,260,320,330,390,390,390,2223,0,5,26.91698548724092,0.9318339871242642,390.07074999972247,166.70580296896085
1784281273,100,,Aggregated,67.300000,0.000000,5,6,7,8,32,250,320,330,390,390,390,2288,0,5,26.313042063908664,0.9318339871242642,390.07074999972247,166.3277972027972
1784281274,100,,Aggregated,67.700000,0.000000,5,6,7,8,30,240,320,330,390,390,390,2358,0,5,25.670513600187828,0.9318339871242642,390.07074999972247,165.9440203562341
1784281275,100,,Aggregated,67.200000,0.000000,5,6,7,8,28,240,320,330,390,390,390,2420,0,5,25.150400562938746,0.9318339871242642,390.07074999972247,165.5698347107438
1784281276,100,,Aggregated,66.500000,0.000000,5,6,7,8,25,230,320,330,390,390,390,2482,0,5,24.686068168115323,0.9318339871242642,390.07074999972247,165.28686543110396
1784281277,100,,Aggregated,67.100000,0.000000,5,6,7,8,21,230,320,330,390,390,390,2551,0,5,24.15834093895463,0.9318339871242642,390.07074999972247,164.97099176793415
1784281278,100,,Aggregated,66.500000,0.000000,5,6,7,8,19,220,320,330,390,390,390,2610,0,5,23.712457208943256,0.9318339871242642,390.07074999972247,164.70459770114942
1784281279,100,,Aggregated,66.200000,0.000000,5,6,7,8,18,220,310,330,390,390,390,2678,0,5,23.252393604314726,0.9318339871242642,390.07074999972247,164.38797610156834
1784281280,100,,Aggregated,65.300000,0.000000,5,6,7,8,16,190,310,330,390,390,390,2752,0,5,22.791143831180012,0.9318339871242642,390.07074999972247,164.10428779069767
1784281281,100,,Aggregated,66.300000,0.000000,5,6,7,8,16,180,310,330,390,390,390,2811,0,5,22.421356349780442,0.9318339871242642,390.07074999972247,163.83351120597652
1784281282,100,,Aggregated,64.100000,0.000000,5,6,7,8,14,170,300,330,390,390,390,2876,0,5,22.031042286590253,0.9318339871242642,390.07074999972247,163.6289986091794
1784281283,100,,Aggregated,65.100000,0.000000,5,6,7,8,14,160,300,320,390,390,390,2943,0,5,21.641763206988664,0.9318339871242642,390.07074999972247,163.41080530071355
1784281284,100,,Aggregated,64.600000,0.000000,5,6,7,8,13,150,300,320,390,390,390,3008,0,5,21.29310973105795,0.9318339871242642,390.07074999972247,163.2094414893617
1784281285,100,,Aggregated,64.200000,0.000000,5,6,7,8,13,150,300,320,390,390,390,3069,0,5,20.987416973940128,0.9318339871242642,390.07074999972247,162.9921798631476
1784281286,100,,Aggregated,65.100000,0.000000,5,6,7,8,13,130,300,320,390,390,390,3142,0,5,20.627106042981712,0.9318339871242642,390.07074999972247,162.77848504137492
1784281287,100,,Aggregated,65.600000,0.000000,5,6,7,8,13,130,300,320,390,390,390,3199,0,5,20.34554867993025,0.9318339871242642,390.07074999972247,162.5967489840575
